"COUNT";"SPECIES";"YEAR";"RawCOUNT";"SCHEME";"NSITE";"NSITE_OBS";"COL_INDEX";"predicted2";"conf.low";"conf.high"
5;"Leptidea sp.";2020;5;"CBMS";81;2;6.75508127880602;0.0764;-2.46456944049501;2.84192888797209
5;"Scolitantides orion";2022;5;"CBMS";NA;NA;NA;0.0764;-2.46456944049501;2.84192888797209
5;"Polyommatus fulgens";2021;5;"CBMS";94;1;0.0486137425105399;0.0764;-2.46456944049501;2.84192888797209
5;"Coenonympha glycerion";2018;5;"CBMS";NA;NA;NA;0.0764;-2.46456944049501;2.84192888797209
5;"Melitaea sp.";2019;5;"CBMS";78;3;0.649698238189364;0.0764;-2.46456944049501;2.84192888797209
5;"Polyommatus daphnis";2018;5;"CBMS";NA;NA;NA;0.0764;-2.46456944049501;2.84192888797209
5;"Hipparchia sp.";2018;5;"CBMS";66;3;0.203638359718158;0.0764;-2.46456944049501;2.84192888797209
5;"Melitaea diamina";2019;5;"CBMS";NA;NA;NA;0.0764;-2.46456944049501;2.84192888797209
5;"Pieris mannii";2023;5;"CBMS";109;1;0.047456562752592;0.0764;-2.46456944049501;2.84192888797209
5;"Pyrgus cirsii";2022;5;"CBMS";108;2;0.0897265091684714;0.0764;-2.46456944049501;2.84192888797209
6;"Pyrgus onopordi";2019;6;"CBMS";NA;NA;NA;0.0916;-2.44926244940291;2.85717018912023
6;"Laeosopis roboris";2020;6;"CBMS";81;4;0.0646747415168221;0.0916;-2.44926244940291;2.85717018912023
6;"Carcharodus floccifera";2020;6;"CBMS";81;2;0.0688504213101297;0.0916;-2.44926244940291;2.85717018912023
6;"Hamearis lucina";2020;6;"CBMS";78;2;0.054038302581811;0.0916;-2.44926244940291;2.85717018912023
6;"Aglais urticae";2022;6;"CBMS";108;4;0.0831444383417698;0.0916;-2.44926244940291;2.85717018912023
6;"Scolitantides orion";2021;6;"CBMS";NA;NA;NA;0.0916;-2.44926244940291;2.85717018912023
6;"Lasiommata maera";2020;6;"CBMS";81;2;0.108188584108728;0.0916;-2.44926244940291;2.85717018912023
6;"Carcharodus floccifera";2021;6;"CBMS";95;2;0.0610345745045187;0.0916;-2.44926244940291;2.85717018912023
