"SPECIES";"genus";"Family";"sp.id";"TAO";"SSI";"WI";"HSI";"FMo_Average";"STI";"SVTI";"OS_ordinal";"Max.Voltinism";"Morphosp"
"Carcharodus alceae";"Carcharodus";"Hesperiidae";"hescal";0,733232884;1,079106671;-0,04;0,17;8;11,131;3,23;2;3;""
"Carcharodus baeticus";"Carcharodus";"Hesperiidae";"hescba";0,991242175;2,568485509;-0,04;0,41;4;13,12;3,44;2;3;""
"Carcharodus floccifera";"Carcharodus";"Hesperiidae";"hescfl";0,579616108;2,077674324;-0,03;0,17;4,5;11,457;3,27;2;2;"Carcharodus"
"Carcharodus lavatherae";"Carcharodus";"Hesperiidae";"hescla";0,566164059;1,143723099;-0,03;0,41;4;10,12;3,14;2;1;""
"Celastrina argiolus";"Celastrina";"Lycaenidae";"lyccar";0,200519498;0,525489923;-0,04;0,02;7;9,14;3,81;3,5;2;""
"Charaxes jasius";"Charaxes";"Nymphalidae";"nymcja";0,214586926;0,826210232;0,15;0,1;6,5;14,77;1,96;2;2;""
"Chazara briseis";"Chazara";"Satyrinae";"satcbr";0,955485774;3,334712623;0,05;0,33;4;10,29;2,64;2;1;""
"Coenonympha arcania";"Coenonympha";"Satyrinae";"satcar";0,217617215;1,085591941;-0,02;0,17;3,5;9,04;2,63;2;1;""
"Coenonympha dorus";"Coenonympha";"Satyrinae";"satcdo";0,47532387;0,91907444;-0,03;0,17;3;12,67;2,96;2;1;""
"Coenonympha glycerion";"Coenonympha";"Satyrinae";"satcgl";0,963447931;2,255556472;-0,02;0,26;3;8,06;2,63;2;2;""
"Coenonympha pamphilus";"Coenonympha";"Satyrinae";"satcpa";0,811156827;0,802998052;-0,04;0,1;7;8,96;3,89;2;3;""
"Colias alfacariensis";"Colias";"Pieridae";"piecal";0,651564748;1,061522609;0,02;0,17;6,5;9,94;2,78;2;3;""
"Colias crocea";"Colias";"Pieridae";"pieccr";0,676047421;0,76761504;0,03;0,04;7;10,69;3,33;3;3;""
"Cupido alcetas";"Cupido";"Lycaenidae";"lyccal";0,427644534;1,102799904;-0,04;0,18;7;10,81;2,66;2;3;""
"Cupido argiades";"Cupido";"Lycaenidae";"lycear";0,713290095;1,144474029;-0,05;0,07;6;9,42;2,45;2;2;""
"Cupido minimus";"Cupido";"Lycaenidae";"lyccmi";0,629898683;1,789905035;-0,06;0,11;6;8,76;3,26;2;2;""
"Cupido osiris";"Cupido";"Lycaenidae";"lyccos";0,661129024;1,348377571;-0,05;0,29;6;10,62;3;2;2;""
"Danaus chrysippus";"Danaus";"Nymphalidae";"dandch";0,82598968;2,287787207;0,11;0,35;10,5;15,19;2,02;4;3;""
"Danaus plexippus";"Danaus";"Nymphalidae";"dandpl";0,82598968;2,287787207;0,17;0,5;11;15,98;1,77;4;3;"Danaus"
"Erebia neoridas";"Erebia";"Satyrinae";"satene";0,476142746;1,91387029;0;0,29;2,5;10,06;2,91;2;1;""
"Erynnis tages";"Erynnis";"Hesperiidae";"heseta";0,831059967;0,977789631;-0,04;0,13;4;9,12;2,9;2;2;""
"Euchloe crameri";"Euchloe";"Pieridae";"pieecr";0,714650848;1,01932472;0,01;0,15;3;12,79;3,13;3,5;2;""
"Euphydryas aurinia";"Euphydryas";"Nymphalidae";"nymeau";0,417346822;0,80060642;0;0,1;3,5;13,58;3,07;2;1;""
"Euphydryas desfontainii";"Euphydryas";"Nymphalidae";"nymede";0,669039357;1,510815173;0,01;1;3;13,58;2,29;2;1;""
"Fabriciana adippe";"Fabriciana";"Nymphalidae";"nymaad";0,602248928;1,096330937;0,05;0,5;3,5;8,37;2,88862068965517;1,5;1;"Nymphalidae"
"Fabriciana niobe";"Fabriciana";"Nymphalidae";"nymani";0,966199517;3,962549663;0,04;0,41;2,5;8,5;2,88862068965517;1,5;1;"Nymphalidae"
"Favonius quercus";"Favonius";"Lycaenidae";"lycnqu";-0,116626059;1,003106909;-0,03;0,41;5;9,49;2,79;1;1;""
"Gegenes nostrodamus";"Gegenes";"Hesperiidae";"hesgno";0,630638872;1,184809934;-0,03;0,29;9;15,34;1,92;4;3;""
"Gegenes pumilio";"Gegenes";"Hesperiidae";"hesgpu";0,630638872;1,184809934;-0,04;0,35;9;15,34;2,29;2;3;"Gegenes"
"Glaucopsyche alexis";"Glaucopsyche";"Lycaenidae";"lycgal";0,455800389;1,0957562;-0,04;0,07;5;9,59;3,59;3,5;1;""
"Glaucopsyche melanops";"Glaucopsyche";"Lycaenidae";"lycgme";0,583383422;1,129498814;-0,05;0,22;2;13,26;2,86;3,5;1;""
"Glaucopsyche sp.";"Glaucopsyche";"Lycaenidae";"lycgsp";0,5195919055;1,112627507;-0,045;0,145;2;11,425;3,225;3,5;1;"Glaucopsyche"
"Gonepteryx cleopatra";"Gonepteryx";"Pieridae";"piegcl";0,316566837;0,504591143;0,06;0,58;7,5;13,95;2,66;4,5;3;""
"Gonepteryx rhamni";"Gonepteryx";"Pieridae";"piegrh";0,216989675;0,57629815;0,06;0,22;8;8,81;3,38;4,5;1;""
"Gonepteryx sp.";"Gonepteryx";"Pieridae";"piegsp";0,266778256;0,5404446465;0,06;0,4;7,5;11,38;3,02;4,5;1;"Gonepteryx"
"Hamearis lucina";"Hamearis";"lycaenidae";"lychlu";0,392148617;2,061611593;-0,03;0,58;6;9,11;2,37;3,5;1;""
"Hesperia comma";"Hesperia";"Hesperiidae";"heshco";0,717841157;1,393082408;-0,04;0,33;3,5;8,47;3,19;1,5;1;""
"Hesperidae";"Hesperidae";"Hesperiidae";"HES";0,682503686764706;1,34574654241176;-0,0433333333333333;0,316470588235294;4;11,1906875;3,00866666666667;2;1;"Hesperiidae"
"Hipparchia fagi";"Hipparchia";"Satyrinae";"sathfa";0,248527707;0,93073733;0,1;0,25;4,5;10,53;2,62;2;1;""
"Hipparchia fidia";"Hipparchia";"Satyrinae";"sathfi";0,330193238;0,92580827;0,07;0,14;3,5;13,55;2,55;2;1;""
"Hipparchia hermione";"Hipparchia";"Satyrinae";"sathal";0,626212378;1,279657108;0,07;0,41;2;10,34;2,92;2;1;""
"Hipparchia semele";"Hipparchia";"Satyrinae";"sathse";0,255154761;1,000806683;0,04;0,14;3,5;9,18;2,61;2;1;""
"Hipparchia sp.";"Hipparchia";"Satyrinae";"sathsp";0,3757628022;0,992673148;0,062;0,212;3,5;11,086;2,738;2;1;"Hipparchia"
"Hipparchia statilinus";"Hipparchia";"Satyrinae";"sathst";0,418725927;0,826356349;0,03;0,12;5;11,83;2,99;2;1;""
"Hyponephele lycaon";"Hyponephele";"Satyrinae";"sathly";0,835549682;2,17011621;0;0,2;3,5;9,14;2,92;2;1;""
"Iolana debilitata";"Iolana";"Lycaenidae";"lyciio";-0,181964423;2,936094553;-0,01;0,367727272727273;5;12,908;2,93368421052632;3,5;1;""
"Iphiclides feisthamelii";"Iphiclides";"Papilionidae";"papife";0,55589056;0,594496436;0,12;0,41;7,5;14,105;3,455;3,5;3;""
"Issoria lathonia";"Issoria";"Nymphalidae";"nymila";0,619874008;0,863747418;0,01;0,41;7;9,33;3,08;4;3;""
"Laeosopis roboris";"Laeosopis";"Lycaenidae";"lyclro";0,210945468;1,299559235;-0,03;0,71;3;12,63;3,39;1;1;""
"Lampides boeticus";"Lampides";"Lycaenidae";"lyclbo";0,638578425;1,083754933;-0,03;0,06;9;12,82;3,03;2,5;3;""
"Lasiommata maera";"Lasiommata";"Satyrinae";"satlma";0,457800804;1,744371603;0,03;0,07;6;8,56;3,76;2;2;""
"Lasiommata megera";"Lasiommata";"Satyrinae";"satlme";0,284973744;0,4180997;0,01;0,12;6,5;10,39;3,13;2;3;""
