"pool";"year";"trait";"value"
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,71
"Filtered";2018;"HSI";0,33
"Filtered";2018;"HSI";0,33
"Filtered";2018;"HSI";0,367727272727273
"Filtered";2018;"HSI";0,29
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,263333333333333
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,05
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,15
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
