"pool";"trait";"metric";"avg";"sdev";"cv"
"Filtered";"WI";"range";0,197505;0,00346005635792251;0,0175188291836789
"Filtered";"WI";"skewness";0,556063976254992;0,208034644749116;0,374119981931213
"Filtered";"WI";"standard_deviation";0,0458640648170124;0,00325029907366853;0,0708680987312509
"Regional";"HSI";"average";0,230463251461119;0,0387868880032698;0,168299664945991
"Regional";"HSI";"kurtosis";5,33266950933292;1,70626443102796;0,319964405827468
"Regional";"HSI";"multimodality";0,0747984195642367;0,0161789743498857;0,216301018713253
"Regional";"HSI";"range";0,947595;0,0367780128609472;0,0388119532721756
"Regional";"HSI";"skewness";1,63856741986884;0,376335449436145;0,229673460409867
"Regional";"HSI";"standard_deviation";0,205089753378104;0,0288082506716311;0,140466552800033
"Regional";"SSI";"average";0,808468345285262;0,00996412450914685;0,0123246934369843
"Regional";"SSI";"kurtosis";4,22479891986321;0,0958656096088113;0,0226911650535821
"Regional";"SSI";"multimodality";0,0647519532929055;0,0101821880927859;0,157249126473865
"Regional";"SSI";"range";1,11273244521588;0,00966155310961074;0,0086827279559879
"Regional";"SSI";"skewness";0,197085744054566;0,106155427038242;0,538625599469289
"Regional";"SSI";"standard_deviation";0,196805480704153;0,0050894652364119;0,0258603836549787
"Regional";"STI";"average";11,297878879716;0,140436252644317;0,0124303202521009
"Regional";"STI";"kurtosis";1,52545904056805;0,13546663962706;0,0888038524958461
"Regional";"STI";"multimodality";0,0928338865408076;0,0100214859310999;0,107950731187955
"Regional";"STI";"range";6,50149583333333;0,10402935423123;0,0160008337924126
"Regional";"STI";"skewness";0,192003759120743;0,168204913099728;0,87605010375839
"Regional";"STI";"standard_deviation";1,89124684882828;0,0359224540890998;0,0189940589253886
"Regional";"SVTI";"average";3,25706481226255;0,0480739182606205;0,0147598899719854
"Regional";"SVTI";"kurtosis";2,50300473944636;0,257973743384235;0,103065623216237
"Regional";"SVTI";"multimodality";0,057145553434714;0,00583547699377005;0,102116029035169
"Regional";"SVTI";"range";2,10045333333333;0,0237516253478929;0,0113078567235769
"Regional";"SVTI";"skewness";-0,0825915042475059;0,234515774627882;1,35147449970929
"Regional";"SVTI";"standard_deviation";0,485623738213114;0,0230423671707678;0,0474490132124796
"Regional";"TAO";"average";0,438896061603124;0,0196519729431915;0,0447759154443314
"Regional";"TAO";"kurtosis";4,71137562864394;0,518285999790182;0,110007361043161
"Regional";"TAO";"multimodality";0,0889774725864224;0,00760479518757851;0,0854687705384314
"Regional";"TAO";"range";1,06488933219717;0,00959755884520152;0,0090127288864835
"Regional";"TAO";"skewness";-1,20238411955907;0,0756742377964596;0,062936824069342
"Regional";"TAO";"standard_deviation";0,233877782196251;0,0219669865457964;0,0939250677833242
"Regional";"WI";"average";0,0051813190379902;0,00170822518759336;0,329689249989896
"Regional";"WI";"kurtosis";3,58050916084562;0,334264116899699;0,0933565875364931
"Regional";"WI";"multimodality";0,0863162189153439;0,00791208443330659;0,091663936774924
"Regional";"WI";"range";0,202683333333333;0,00543976094756624;0,0268387185966593
"Regional";"WI";"skewness";0,724178816534522;0,0900924648720887;0,124406379771251
"Regional";"WI";"standard_deviation";0,041398380448158;0,0013177841079393;0,0318317792549765
