"pool";"trait";"metric";"avg";"sdev";"cv"
"Filtered";"HSI";"average";0,18793579469697;0,0140204597119864;0,0746023913890019
"Filtered";"HSI";"kurtosis";11,490111408421;2,56134199251882;0,222917072034797
"Filtered";"HSI";"multimodality";0,0938241148781774;0,0266841054681211;0,284405618990045
"Filtered";"HSI";"range";0,97151;0,00368425297719906;0,00379229547529007
"Filtered";"HSI";"skewness";2,84558980362191;0,400000818056816;0,140568685461161
"Filtered";"HSI";"standard_deviation";0,202848406788912;0,0172969872513688;0,0852705107482968
"Filtered";"SSI";"average";0,790299699614703;0,045112230839698;0,0570824345013565
"Filtered";"SSI";"kurtosis";3,43448060671049;0,272765794618668;0,0794198092386145
"Filtered";"SSI";"multimodality";0,0929288843870877;0,0136567823891264;0,146959500043498
"Filtered";"SSI";"range";1,097233173084;0,0864685807159825;0,0788060212151122
"Filtered";"SSI";"skewness";0,58362333228652;0,21774211760086;0,373086724870629
"Filtered";"SSI";"standard_deviation";0,234331387947311;0,0353255493636825;0,150750395297558
"Filtered";"STI";"average";10,7255925590215;0,274153285049455;0,025560665626708
"Filtered";"STI";"kurtosis";2,31508987968682;0,592601735446481;0,25597353288359
"Filtered";"STI";"multimodality";0,100276858425946;0,0164542237986557;0,164087946680211
"Filtered";"STI";"range";5,90550133333333;0,0971087100823951;0,0164437707488557
"Filtered";"STI";"skewness";0,85728895961532;0,366077022671685;0,427017073491708
"Filtered";"STI";"standard_deviation";1,78044037399966;0,0599981685726575;0,0336984992302073
"Filtered";"SVTI";"average";3,46245777419087;0,0533103753079734;0,0153966860492418
"Filtered";"SVTI";"kurtosis";3,3745099809816;0,325435135604977;0,0964392274549779
"Filtered";"SVTI";"multimodality";0,088170249176656;0,017191271096427;0,194978138963665
"Filtered";"SVTI";"range";1,95608666666667;0,0534485257670094;0,0273242114870555
"Filtered";"SVTI";"skewness";-0,696752577788964;0,17654930683778;0,253388810412488
"Filtered";"SVTI";"standard_deviation";0,421767075891571;0,015612551204395;0,0370169984733676
"Filtered";"TAO";"average";0,411659319017676;0,0712991874209512;0,173199498048749
"Filtered";"TAO";"kurtosis";5,37752163147323;2,26938329245988;0,422012861682931
"Filtered";"TAO";"multimodality";0,104337444225181;0,0204994924969115;0,196473017420951
"Filtered";"TAO";"range";1,00419819048083;0,0137271377536941;0,0136697495412945
"Filtered";"TAO";"skewness";-1,45513738222172;0,393602076361265;0,27049135096805
"Filtered";"TAO";"standard_deviation";0,253378232447221;0,0587393445576803;0,231824746705168
"Filtered";"WI";"average";0,0114564402777778;0,00761329772332078;0,664543046419785
"Filtered";"WI";"kurtosis";3,29472444336605;0,526905338931528;0,15992394750719
"Filtered";"WI";"multimodality";0,10849072841192;0,0208655395912022;0,192325555341277
