"pool";"year";"trait";"skewness";"skewness_squared";"kurtosis";"range";"low_skewness";"low_skewness_squared";"low_kurtosis";"low_range";"high_skewness";"high_skewness_squared";"high_kurtosis";"high_range";"dist.to.boundary";"norm_range";"highlight"
"Filtered";2022;"SSI";0,664674483754492;0,441792169354301;3,78889947018032;1,120658771017;0,277410536896263;0,0769566059810731;2,83283775892668;1,092246964;1,02771675081666;1,05620171990916;4,72917485988832;1,125942852;1,65965548858653;0,718618410044576;FALSE
"Filtered";2022;"STI";0,673825104659018;0,454040271668737;1,87772593925447;5,88358;0,403822831779117;0,163072879466105;1,52354464045532;5,454;0,95713886164166;0,916114800464692;2,38190458063927;6,094;0,299591008641422;0,111120321381709;FALSE
"Filtered";2022;"SVTI";-0,72422774014907;0,52450581960143;3,61751557461037;1,99055;-1,05128135494941;1,10519248726426;2,72531045360226;1,6;-0,408004310608381;0,16646751747502;4,85002995695417;2,16;1,47998139085642;0,409340765097441;FALSE
"Filtered";2022;"TAO";-1,86630015193504;3,48307625711276;7,21560290915295;1,025483090156;-2,10372373072401;4,42565353521136;5,36762399320898;0,971250763;-1,62080375562249;2,62700481423997;9,12741525908508;1,069898618;1,93218812543059;0,430756781165516;FALSE
"Filtered";2022;"WI";0,588168019145923;0,345941618746039;3,12839262645919;0,19936;0,349354320907341;0,122048441536629;2,69341272089549;0,18;0,801617335216777;0,642590352120046;3,64024883520471;0,21;1,26038319468677;0,397198015196153;FALSE
"Filtered";2023;"HSI";2,17485710530084;4,73000342847753;7,93227432844821;0,97367;1,80272960222282;3,24983401873045;5,89024302916381;0,95;2,58344153244113;6,67417015154176;10,7110998043915;0,98;1,55724068737907;0,966703339882121;FALSE
"Filtered";2023;"SSI";0,852806893446162;0,727279597509293;3,28463783280602;1,1897916294;0,639026220702543;0,408354510745375;2,59108129249423;1,125942852;1,18463506823152;1,40336024488389;4,87926495269214;1,87809393;1,10121856891503;0,99;FALSE
"Filtered";2023;"STI";0,273279900057014;0,0746819037751714;1,60586686169194;6,06042;0,0518881421547543;0,002692379296272;1,45779202519363;5,454;0,51561542608556;0,265859267617394;1,8491525559472;7,304;0,375604485807239;0,320316830894362;FALSE
"Filtered";2023;"SVTI";-0,413568579278708;0,171038969766609;2,92399682333276;2,03264;-0,735242244997402;0,54058115882882;2,287395394437;1,59;-0,115666960350205;0,0133788457166559;3,78908660140229;2,35;1,23952838539084;0,57474376453605;FALSE
"Filtered";2023;"TAO";-1,78745065836832;3,19497985610133;8,37544703992184;1,00237816402;-2,20017274082807;4,84076008948292;5,46252414878421;0,971250763;-0,989047234683558;0,978214432435193;10,3027189249148;1,099659492;2,95603669420731;0,168212342051188;FALSE
